prompt,topic,category,region,intent,type,Reasoning,persona,url,referral
Couch with hidden speakers for home theater,Home theater sound and charging systems,Premium Modular Furniture,US,informational,unbranded,Source Page: https://www.lovesac.com/sactionals-with-stealthtech-sound-charge. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. This prompt seeks information about stealth speakers and aligns with the page's description of invisible speakers.,,https://www.lovesac.com/sactionals-with-stealthtech-sound-charge,referred
Modular sectionals with built-in wireless chargers vs traditional sofas,Home theater sound and charging systems,Premium Modular Furniture,US,comparative,unbranded,"Source Page: https://www.lovesac.com/sactionals-with-stealthtech-sound-charge. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. This prompt compares modular sectionals with features like wireless charging to traditional sofas, which matches the page's focus on innovative features.",,https://www.lovesac.com/sactionals-with-stealthtech-sound-charge,referred
Lovesac stealthtech sectional vs regular sectional benefits,Home theater sound and charging systems,Premium Modular Furniture,US,comparative,branded,"Source Page: https://www.lovesac.com/sactionals-with-stealthtech-sound-charge. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. This prompt explicitly references the branded product, drawing a comparison to regular sectionals, making it relevant to the page.",,https://www.lovesac.com/sactionals-with-stealthtech-sound-charge,referred
Sectional with built-in speakers and wireless charging price,Home theater sound and charging systems,Premium Modular Furniture,US,transactional,unbranded,"Source Page: https://www.lovesac.com/sactionals-with-stealthtech-sound-charge. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. This prompt focuses on purchasing a sectional with features mentioned on the page, without naming the brand.",,https://www.lovesac.com/sactionals-with-stealthtech-sound-charge,referred
Lovesac sofa with sound and wireless charging price,Home theater sound and charging systems,Premium Modular Furniture,US,transactional,branded,"Source Page: https://www.lovesac.com/sactionals-with-stealthtech-sound-charge. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. This prompt directly includes the product and brand name featured on the webpage, showing purchase intent.",,https://www.lovesac.com/sactionals-with-stealthtech-sound-charge,referred
Price for modular sectionals with invisible speakers,Home theater sound and charging systems,Premium Modular Furniture,US,transactional,unbranded,"Source Page: https://www.lovesac.com/sactionals-with-stealthtech-sound-charge. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. This prompt fits the transactional intent by asking for pricing information for relevant products described on the page, without naming the brand.",,https://www.lovesac.com/sactionals-with-stealthtech-sound-charge,referred
Steps to update firmware on a sound system couch,Home theater sound and charging systems,Lovesac Accessories and Instructions,US,instructional,unbranded,"Source Page: https://www.lovesac.com/stealthtech-firmware-updates. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. The prompt is focused on firmware updates for sound-enabled furniture, matching the instructional intent of the page without mentioning a brand.",,https://www.lovesac.com/stealthtech-firmware-updates,referred
Risks of skipping couch speaker firmware update,Home theater sound and charging systems,Lovesac Accessories and Instructions,US,informational,unbranded,Source Page: https://www.lovesac.com/stealthtech-firmware-updates. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. This prompt targets users weighing whether to update their firmware and what happens if they skip it.,,https://www.lovesac.com/stealthtech-firmware-updates,referred
Update Lovesac firmware guide,Home theater sound and charging systems,Lovesac Accessories and Instructions,US,instructional,branded,"Source Page: https://www.lovesac.com/stealthtech-firmware-updates. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. This prompt directly asks about updating the firmware for Lovesac's StealthTech system, tying branded instructional content to the page.",,https://www.lovesac.com/stealthtech-firmware-updates,referred
Check firmware version my Lovesac system is running,Home theater sound and charging systems,Lovesac Accessories and Instructions,US,informational,branded,Source Page: https://www.lovesac.com/stealthtech-firmware-updates. High priority: Source URL has driven referral traffic in the past. Sustained week-over-week citation attempts. This prompt targets users trying to understand the latest firmware update for their couch.,,https://www.lovesac.com/stealthtech-firmware-updates,referred
